Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pine-cone-hill-silken-solid-white-duvet-cover,Pine Cone Hill Silken Solid White Duvet Cover,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, New Arrivals: Bedding",TRUE,Size,Twin,,,,,PC769-T,4536.105137,shopify,500,deny,manual,180,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,1,Pine Cone Hill Silken Solid White Duvet Cover - Lavender Fields,FALSE,Pine Cone Hill Silken Solid White Duvet Cover,"The perfect addition to any home setting, this Silken Solid White Duvet Cover will keep your warm and stylish all day long. Made from luxurious Lyocell. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,PC889-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,active
pine-cone-hill-silken-solid-white-duvet-cover,,,,,,,Full/Queen,,,,,PC769-FQ,4536.105137,shopify,499,deny,manual,216,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham1_e391bc59-c04b-4a4a-a489-178e6b736f5d.jpg?v=1613755614,2,Pine Cone Hill Silken Solid White Duvet Cover - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,
pine-cone-hill-silken-solid-white-duvet-cover,,,,,,,King,,,,,PC769-K,4536.105137,shopify,499,deny,manual,248,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-duvet-cover.jpg?v=1613755614,lb,,,
pine-cone-hill-silken-solid-white-sham,Pine Cone Hill Silken Solid White Sham,Pine Cone Hill,Bedding & Bath,"Bedding & Bath: Duvet Covers & Shams, Bedding & Bath: Shams, New Arrivals: Bedding",TRUE,Select Size,Standard - $58.00,,,,,PC2429-SHS,4536.105137,shopify,500,deny,manual,58,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,1,Pine Cone Hill Silken Solid White Sham - Lavender Fields,FALSE,Pine Cone Hill Silken Solid White Sham,The Silken Solid White Sham lets you sleep soundly knowing that TENCEL® fiber is sustainably derived from renewable wood resources and processed in a 99% recyclable closed loop system. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,PC889-SHS,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,active
pine-cone-hill-silken-solid-white-sham,,,,,,,Euro - $70.00,,,,,PC2429-SHE,4536.105137,shopify,500,deny,manual,70,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham3.jpg?v=1613755614,2,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,
pine-cone-hill-silken-solid-white-sham,,,,,,,King - $64.00,,,,,PC2429-SHK,4536.105137,shopify,500,deny,manual,64,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham2.jpg?v=1613755614,3,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham.jpg?v=1613755613,lb,,,
pine-cone-hill-silken-solid-white-sham,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/silken-solid-sham1.jpg?v=1613755614,4,Pine Cone Hill Silken Solid White Sham - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
pine-cone-hill-tahiti-stripe-table-runner,Pine Cone Hill Tahiti Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR544-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/tahiti.jpg?v=1613755591,1,Pine Cone Hill Tahiti Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Tahiti Stripe Table Runner,"Featuring a wide range of sun-drenched hues that will brighten up any spring day! Made from all cotton, this Tahiti Stripe Table Runner is the perfect addition to any occasion. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.",,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-sequoia-evergreen-table-runner,Pine Cone Hill Sequoia Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR569-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/sequo.jpg?v=1613755591,1,Pine Cone Hill Sequoia Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Sequoia Evergreen Table Runner,The Sequoia Evergreen Table Runner features a beautiful and elegant style in  Forest/Evergreen/ Beige/Natural flame stitch. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-paxton-stripe-table-runner,Pine Cone Hill Paxton Stripe Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR575-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/paxton_604292ef-dcf7-4147-8d49-13e123292af5.jpg?v=1613755591,1,Pine Cone Hill Paxton Stripe Table Runner - Lavender Fields,FALSE,Pine Cone Hill Paxton Stripe Table Runner,The Paxton Stripe Table Runner is made from all cotton and features a wide variety of vibrant colors to brighten up any home. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-palm-evergreen-table-runner,Pine Cone Hill Palm Evergreen Table Runner,Pine Cone Hill,Bedding & Bath,New Arrivals: Art Decor & Lighting,TRUE,Title,Default Title,,,,,FR571-TR,453.59237,shopify,500,deny,manual,59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/palm.jpg?v=1613755590,1,Pine Cone Hill Palm Evergreen Table Runner - Lavender Fields,FALSE,Pine Cone Hill Palm Evergreen Table Runner,Featuring a deep green color that is a wonderful addition to any table setting. The Palm Evergreen Table Runner is the perfect length to adapt to any table. Pine Cone Hill bedding and accessories always ship free at Lavender Fields.,,,,,,,,,,,,,,,lb,,,active
pine-cone-hill-palm-evergreen-table-runner,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/4105/9373/products/bamboo-2_6998d75b-0627-44c1-a256-3dae09e92918.jpg?v=1613755590,2,Pine Cone Hill Palm Evergreen Table Runner - Lavender Fields,,,,,,,,,,,,,,,,,,,,,
